latin_name,n_original,n_cleaned,sample_cleaned,sample_removed
Volvopluteus gloiocephalus,120,120,a photo of Volvopluteus gloiocephalus;a photograph of Volvopluteus gloiocephalus;an image of Volvopluteus gloiocephalus;a picture of Volvopluteus gloiocephalus;Volvopluteus gloiocephalus mushroom,
Armillaria borealis,110,110,a photo of Armillaria borealis;a photograph of Armillaria borealis;an image of Armillaria borealis;a picture of Armillaria borealis;Armillaria borealis mushroom,
Suillus granulatus,113,113,a photo of Suillus granulatus;a photograph of Suillus granulatus;an image of Suillus granulatus;a picture of Suillus granulatus;Suillus granulatus mushroom,
Hypholoma fasciculare,110,110,a photo of Hypholoma fasciculare;a photograph of Hypholoma fasciculare;an image of Hypholoma fasciculare;a picture of Hypholoma fasciculare;Hypholoma fasciculare mushroom,
Lycogala epidendrum,118,118,a photo of Lycogala epidendrum;a photograph of Lycogala epidendrum;an image of Lycogala epidendrum;a picture of Lycogala epidendrum;Lycogala epidendrum mushroom,
Stropharia ambigua,104,104,a photo of Stropharia ambigua;a photograph of Stropharia ambigua;an image of Stropharia ambigua;a picture of Stropharia ambigua;Stropharia ambigua mushroom,
Tylopilus rubrobrunneus,109,109,a photo of Tylopilus rubrobrunneus;a photograph of Tylopilus rubrobrunneus;an image of Tylopilus rubrobrunneus;a picture of Tylopilus rubrobrunneus;Tylopilus rubrobrunneus mushroom,
Fomitopsis mounceae,95,95,a photo of Fomitopsis mounceae;a photograph of Fomitopsis mounceae;an image of Fomitopsis mounceae;a picture of Fomitopsis mounceae;Fomitopsis mounceae mushroom,
Stereum hirsutum,104,104,a photo of Stereum hirsutum;a photograph of Stereum hirsutum;an image of Stereum hirsutum;a picture of Stereum hirsutum;Stereum hirsutum mushroom,
Peltigera aphthosa,95,95,a photo of Peltigera aphthosa;a photograph of Peltigera aphthosa;an image of Peltigera aphthosa;a picture of Peltigera aphthosa;Peltigera aphthosa mushroom,
Cantharellus cinnabarinus,120,120,a photo of Cantharellus cinnabarinus;a photograph of Cantharellus cinnabarinus;an image of Cantharellus cinnabarinus;a picture of Cantharellus cinnabarinus;Cantharellus cinnabarinus mushroom,
Agaricus augustus,117,111,a photo of Agaricus augustus;a photograph of Agaricus augustus;an image of Agaricus augustus;a picture of Agaricus augustus;Agaricus augustus mushroom,a photo of فطر الأمير;a photograph of فطر الأمير;فطر الأمير mushroom;فطر الأمير fungus;photo of فطر الأمير mushroom
Mutinus ravenelii,98,98,a photo of Mutinus ravenelii;a photograph of Mutinus ravenelii;an image of Mutinus ravenelii;a picture of Mutinus ravenelii;Mutinus ravenelii mushroom,
Trametes betulina,112,112,a photo of Trametes betulina;a photograph of Trametes betulina;an image of Trametes betulina;a picture of Trametes betulina;Trametes betulina mushroom,
Gymnopilus luteofolius,100,100,a photo of Gymnopilus luteofolius;a photograph of Gymnopilus luteofolius;an image of Gymnopilus luteofolius;a picture of Gymnopilus luteofolius;Gymnopilus luteofolius mushroom,
Coprinopsis atramentaria,123,123,a photo of Coprinopsis atramentaria;a photograph of Coprinopsis atramentaria;an image of Coprinopsis atramentaria;a picture of Coprinopsis atramentaria;Coprinopsis atramentaria mushroom,
